Pořadí;Odkaz na isvavai.cz;Kód výsledku;Dodavatel;Název v původním jazyce;Název v českém jazyce;Název v anglickém jazyce;Druh;Poddruh;Poddruh (alt);Jazyk;Obor - skupina;Obor;Vědní obor;Stav uplatnění výsledku;Rok uplatnění;Kód důvěrnosti;Počet výskytů výsledku;Počet tvůrců celkem;Počet domácích tvůrců;list;Popis výsledku v pův. jazyce;Popis výsledku anglicky;Klíčová slova;URL s plným textem výsledku;Odkaz na údaje z výzkumu;DOI výsledku;ID předkladatele;Předkladatel;Kategorie;Právní forma;Ičo;Název organizace;Ulice sídla;Město sídla;PSČ sídla;Země sídla;Region sídla;Kraj sídla;Okres sídla;Kód předkladatele OJ;Předkladatel OJ;Označení dodávky dat;Datum poslední dodávky;Specifikace;Kontrolní číslo;Název periodika / sborníku;ISBN;ISSN;e-ISSN;Svazek periodika;Číslo periodika v rámci uvedeného svazku;Název nakladatele resp. objednatele;Místo vydání;Stát vydavatele periodika;Počet stran knihy;Počet stran výsledku;Strana od-do;Kód UT WoS článku podle Web of Science;EID výsledku v databázi Scopus;Způsob publikování výsledku;Předpoklad zveřejnění textu výsledku;Místo konání akce;Datum konání nebo zahájení akce;Typ akce podle státní příslušnosti účastníků;Seznam návazností na VA **;Období hodnocení;Finální známka
1;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F20%3A10414703%21RIV21-GA0-11240___;RIV/00216208:11240/20:10414703;GA0;A warning: Potential damages induced by playing xr games;;A warning: Potential damages induced by playing xr games;D;;;eng;-;-;30502;U;2020;S;3;3;2;Binter, Jakub:Říha, Daniel:Prossinger, Hermann;This article focuses on psychological safety while playing XR (VR + AR) games, and the development of safe-guards (&apos,fuses&apos,) to avoid possible negative impacts incurred during virtual experiences. VR and AR have moved from hi-tech development laboratories and design studios into the homes of otherwise conventional users. XR technology has been repeatedly proven to be beneficial for supportive treatment of phobia, PTSD (post-traumatic stress disorder), training of complex behaviors in harsh environments, and education related applications. Gaming applications are in high demand and financially successful, but are insufficiently supervised by professionals with regard to user safety. Immersion and quality of the technology has increased markedly, resulting in the emergence of arenas that look and feel increasingly realistic, and hence can trigger and impact human affectual states, notably fear and sexual pleasure, more easily. The tendency to create super-stimuli is in the minds of the creators with little (we argue: insufficient) regard to deleterious side effects. Motion sickness has been considered a negative side-effect of VR gaming, but the possible damage to emotional and psychological well-being of users has been overlooked. Other media platforms, such as movies, have documented the impact on the human psyche of pre-disposed individuals, especially when their psychological state is affected by psychoactive substances. We argue the necessity of programming psycho-physiological response-based &apos,fuses&apos, that limit possible negative impacts on individuals with pre-existing or pre-generated conditions. We do not criticize XR development trends or claim that XR is dangerous outright, and we suspect that various benefits could far outweigh the risks. The warning call we publish here should help establish safety measures while not diminishing the enjoyment during XR gaming.;This article focuses on psychological safety while playing XR (VR + AR) games, and the development of safe-guards (&apos,fuses&apos,) to avoid possible negative impacts incurred during virtual experiences. VR and AR have moved from hi-tech development laboratories and design studios into the homes of otherwise conventional users. XR technology has been repeatedly proven to be beneficial for supportive treatment of phobia, PTSD (post-traumatic stress disorder), training of complex behaviors in harsh environments, and education related applications. Gaming applications are in high demand and financially successful, but are insufficiently supervised by professionals with regard to user safety. Immersion and quality of the technology has increased markedly, resulting in the emergence of arenas that look and feel increasingly realistic, and hence can trigger and impact human affectual states, notably fear and sexual pleasure, more easily. The tendency to create super-stimuli is in the minds of the creators with little (we argue: insufficient) regard to deleterious side effects. Motion sickness has been considered a negative side-effect of VR gaming, but the possible damage to emotional and psychological well-being of users has been overlooked. Other media platforms, such as movies, have documented the impact on the human psyche of pre-disposed individuals, especially when their psychological state is affected by psychoactive substances. We argue the necessity of programming psycho-physiological response-based &apos,fuses&apos, that limit possible negative impacts on individuals with pre-existing or pre-generated conditions. We do not criticize XR development trends or claim that XR is dangerous outright, and we suspect that various benefits could far outweigh the risks. The warning call we publish here should help establish safety measures while not diminishing the enjoyment during XR gaming.;Kernel density estimation:Decision trees:Neural networks:Psychoactive substances:PTSD:Gamer safety and gamer wellbeing:gaming:VR:Augmented reality:Virtual reality;;;10.1007/978-3-030-50164-8;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV21-GA0-11240___/01:1;06.05.2021;RIV/00216208:11240/20:10414703!RIV21-GA0-11240___;192265052;HCI in Games;978-3-030-50163-1;;;;;Springer;Švýcarsko;;;11;260-270;;2-s2.0-85088746408;;;Copenhagen;19.06.2020;WRD;I, P (GJ19-12885Y);;
2;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F20%3A10424299%21RIV21-GA0-11240___;RIV/00216208:11240/20:10424299;GA0;Bolest a slast v sexuálním chování;Bolest a slast v sexuálním chování;Pain and pleasure in human sexual behavior;J;J/C;Jost;cze;-;-;50101;U;2020;S;1;5;5;Binter, Jakub:Boschetti, Silvia:Hladký, Tomáš:Říha, Daniel:Wells, Timothy Jason;Z evolučního hlediska jsou bolest a slast jedním z nejdůležitějších procesů pro přežívání živočišných druhů. Indikace bolesti napovídá organismu, že se má aktu, který mu bolest způsobuje, vyhnout, že pro něj představuje nebezpečí a že je pro něj škodlivá. Naopak slast přináší organismu uspokojení a říká mu, co je pro něj přínosné a příjemné. Slast tak může přinášet téměř cokoliv, jako je například uspokojení z dobrého jídla, které je rovněž důležité pro přežití. Avšak ne vždy jsou tyto dva procesy vnímané jako rozdílné a protichůdné. Jsou oblasti, kdy jeden z prožitků může způsobit či ovlivňovat druhý. Konkrétně co se týká oblasti lidské sexuality, je mnohdy rozdíl mezi těmito dvěma velmi intenzivními stavy stírán, prolínají se a vydávají se, obrazně řečeno, na stejnou cestu. Bolest totiž může přinášet, nebo potencovat i slast. To má za následek vyhledávání těchto velmi intenzivních stavů.;From evolutionary point of view, pain and pleasure are some of the most important processes for survival. The pain serves as indicator that the causing activity or stimulus should be avoided for its potential to cause harm. Conversely, pleasure is pleasing and shall guide the organism or individual towards repetition and benefit. There are various stimuli that may bring pleasure such as food that is also beneficial for survival. Thus the two processes are not always distinct and countering each other. There are moments when one experience can cause or potentiate the other. Concretely, human sexuality is a field where the two can coexist and share the paths. Pain may bring or potentiate gratification and pleasure. This may be the final reason why people intentionally search for these intensive experiences.;human sexuality:sexual arousal:pleasure:pain;https://verso.is.cuni.cz/pub/verso.fpl?fname=obd_publikace_handle&handle=9egHF20JjX;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV21-GA0-11240___/01:1;06.05.2021;RIV/00216208:11240/20:10424299!RIV21-GA0-11240___;192265069;Sexuológia;;1335-8820;;2020;1;Sexuológia;;SK;;5;10-14;;;C;;;;;P (GJ19-12885Y);;
3;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F20%3A10424858%21RIV21-GA0-11240___;RIV/00216208:11240/20:10424858;GA0;Food insecurity, hoarding behavior, and environmental harshness do not predict weight changes during the COVID-19 pandemic;;Food insecurity, hoarding behavior, and environmental harshness do not predict weight changes during the COVID-19 pandemic;J;J/C;Jost;eng;-;-;50101;U;2020;S;1;9;1;Eder, Stephanie Josephine:Stefanczyk, Michal:Pieniak, Michał:Martínez Molina, Judit:Binter, Jakub:Pešout, Ondra:Smela, Patrick:Scharnowski, Frank:Steyrl, David;The COVID-19 pandemic not only presents a medical and psychological stressor to many, but has also led to alterations that many perceived as threatening, such as reduced financial income and job insecurity. A symptom of collective worrying were so-called panic- or &apos,hamster&apos, purchases, whereby people hoarded food following the introduction of governmental restrictions in response to the pandemic. This behavior indicated subjective &apos,food insecurity&apos, in many individuals at a time when loss of income could potentially lead to real food insecurity for some. Since both perceived and actual food insecurity, as well as stress, are thought to facilitate weight gain as an adaptive response, this study aimed to investigate body weight during the pandemic. Specifically, we modeled the effects of both psychological and environmental factors such as food insecurity, hoarding behavior and loss of income, on body on weight as lockdown measures were introduced and loosened in four European countries. While we observe no systematic changes in body weight over the observed period, there was inter-individual variation in weight changes. However, contrary to our hypothesis, results show that neither food insecurity, hamster purchases, nor loss of income were predictors of weight change or weight/height ratio in our models, and none of our machine learning models outperformed a trivial predictor using the mean of all values for each prediction. In conclusion, this study does not add support for the notion that perceived food insecurity can predict weight gain or a higher weight/height ratio at a time of environmental uncertainties. This suggests that acute alterations in appetite reported upon triggering environmental harshness have no effect beyond that moment. Possibly life-history strategies acquired earlier in life remained stable during this crisis with respect to food consumption and weight.;The COVID-19 pandemic not only presents a medical and psychological stressor to many, but has also led to alterations that many perceived as threatening, such as reduced financial income and job insecurity. A symptom of collective worrying were so-called panic- or &apos,hamster&apos, purchases, whereby people hoarded food following the introduction of governmental restrictions in response to the pandemic. This behavior indicated subjective &apos,food insecurity&apos, in many individuals at a time when loss of income could potentially lead to real food insecurity for some. Since both perceived and actual food insecurity, as well as stress, are thought to facilitate weight gain as an adaptive response, this study aimed to investigate body weight during the pandemic. Specifically, we modeled the effects of both psychological and environmental factors such as food insecurity, hoarding behavior and loss of income, on body on weight as lockdown measures were introduced and loosened in four European countries. While we observe no systematic changes in body weight over the observed period, there was inter-individual variation in weight changes. However, contrary to our hypothesis, results show that neither food insecurity, hamster purchases, nor loss of income were predictors of weight change or weight/height ratio in our models, and none of our machine learning models outperformed a trivial predictor using the mean of all values for each prediction. In conclusion, this study does not add support for the notion that perceived food insecurity can predict weight gain or a higher weight/height ratio at a time of environmental uncertainties. This suggests that acute alterations in appetite reported upon triggering environmental harshness have no effect beyond that moment. Possibly life-history strategies acquired earlier in life remained stable during this crisis with respect to food consumption and weight.;COVID-19:Environmental harshness:Weight gain:Body mass:Food insecurity:Appetite:Life-history theory;https://verso.is.cuni.cz/pub/verso.fpl?fname=obd_publikace_handle&handle=Wu6qUOeMOZ;;10.22330/he/35/122-136;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV21-GA0-11240___/01:1;06.05.2021;RIV/00216208:11240/20:10424858!RIV21-GA0-11240___;192265070;Human Ethology Bulletin;;2224-4476;;35;January 1, 2020;Human Ethology Bulletin;;US;;15;122-136;;;A;;;;;P (GJ19-12885Y);;
4;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11310%2F20%3A10411025%21RIV21-MSM-11310___;RIV/00216208:11310/20:10411025;MSM;Losing stinks! The effect of competition outcome on body odour quality;;Losing stinks! The effect of competition outcome on body odour quality;J;J/A;Jimp;eng;-;-;50101;U;2020;S;3;6;6;Třebická Fialová, Jitka:Třebický, Vít:Kuba, Radim:Stella, David:Binter, Jakub:Havlíček, Jan;Dominance hierarchy is often established via repeated agonistic encounters where consistent winners are considered dominant. Human body odour contains cues to psychological dominance and competition, but it is not known whether competition outcome (a marker of a change in dominance hierarchy) affects the hedonic quality of human axillary odour. Therefore, we investigated the effect of winning and losing on odour quality. We col- lected odour samples from Mixed Martial Arts fighters approximately 1 h before and immediately after a match. Raters then assessed samples for plea- santness, attractiveness, masculinity and intensity. We also obtained data on donors&apos, affective state and cortisol and testosterone levels, since these are known to be associated with competition and body odour quality. Perceived body odour pleasantness, attractiveness and intensity significantly decreased while masculinity increased after a match irrespective of the out- come. Nonetheless, losing a match affected the pleasantness of body odour more profoundly, though bordering formal level of significance. Moreover, a path analysis revealed that match loss led to a decrease in odour attractive- ness, which was mediated by participants&apos, negative affective states. Our study suggests that physical competition and to some extent also its outcome affect the perceived quality of human body odour in specific real-life settings, thus providing cues to dominance-related characteristics. This article is part of the Theo Murphy meeting issue &apos,Chemical communication in humans&apos,.;Dominance hierarchy is often established via repeated agonistic encounters where consistent winners are considered dominant. Human body odour contains cues to psychological dominance and competition, but it is not known whether competition outcome (a marker of a change in dominance hierarchy) affects the hedonic quality of human axillary odour. Therefore, we investigated the effect of winning and losing on odour quality. We col- lected odour samples from Mixed Martial Arts fighters approximately 1 h before and immediately after a match. Raters then assessed samples for plea- santness, attractiveness, masculinity and intensity. We also obtained data on donors&apos, affective state and cortisol and testosterone levels, since these are known to be associated with competition and body odour quality. Perceived body odour pleasantness, attractiveness and intensity significantly decreased while masculinity increased after a match irrespective of the out- come. Nonetheless, losing a match affected the pleasantness of body odour more profoundly, though bordering formal level of significance. Moreover, a path analysis revealed that match loss led to a decrease in odour attractive- ness, which was mediated by participants&apos, negative affective states. Our study suggests that physical competition and to some extent also its outcome affect the perceived quality of human body odour in specific real-life settings, thus providing cues to dominance-related characteristics. This article is part of the Theo Murphy meeting issue &apos,Chemical communication in humans&apos,.;hierarchy:testosterone:cortisol:smell:dominance:olfaction;https://verso.is.cuni.cz/pub/verso.fpl?fname=obd_publikace_handle&handle=nJWhGJQ48y;;10.1098/rstb.2019.0267;orjk:11310;Univerzita Karlova / Přírodovědecká fakulta;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11310;Přírodovědecká fakulta;RIV21-MSM-11310___/01:1;12.05.2021;RIV/00216208:11310/20:10411025!RIV21-MSM-11310___;192281828;Philosophical Transactions of the Royal Society B: Biological Sciences;;0962-8436;;375;1800;Philosophical Transactions of the Royal Society B: Biological Sciences;;GB;;11;20190267;5,28888E+11;2-s2.0-85085153053;C;;;;;I;;
5;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F17%3A10378387%21RIV19-MSM-11240___;RIV/00216208:11240/17:10378387;MSM;Fyzická atraktivita a sexuální přitažlivost obličeje a těla: vývoj stimulů pro měření sexuální reaktivity, výsledky první fáze studie;Fyzická atraktivita a sexuální přitažlivost obličeje a těla: vývoj stimulů pro měření sexuální reaktivity, výsledky první fáze studie;Female faces and bodies differentially contribute to ratings of physical attractiveness and sexual desirability;D;;;cze;-;-;50101;U;2017;S;1;6;6;Hladký, Tomáš:Wells, Timothy Jason:Bártová, Klára:Potyszová, Kateřina:Krejčová, Lucie:Binter, Jakub;V sexuologickém výzkumu jsou často využívána měření sexuální odpovědi, která nám poskytují cenná data o sexuálních preferencích měřených osob. Ovšem jednou z potíží při takovém výzkumu je fakt, že stimuly, které jsou užívány k navození sexuální odpovědi, dosud nebyly dostatečně standardizovány. Příspěvek se zabývá vývojem stimulů pro měření sexuální reaktivity.;Human mate choice research has mostly focused on determinants ofphysical attractiveness, whichhas highlighted the relative importance of the face.The purported functional role of attractiveness in human courtship has arguably led to conflation with the concept of sexual desirability. Research from visual attention paradigms indicate that the human body is the focal point in scenes depicting sexual content. The present study therefore aimed to determine the relative contributions of female faces and bodiesto ratings of overall physical attractiveness and sexual desirability. 100 participants (50 male, 50 female) rated images of faces alone, bodies alone and faces plus bodies (in all cases the bodies were clothed) in a blocked experimental design.Face and body effects were determined for each rating scale independently using cross classified multilevel models. As expected , overall physical attractiveness and sexual desirability were strongly and positively correlated. Face and body each significantly predicted ratings of face-body stimuli irrespective of rating scale. However, facescontributed proportionally moreto overall face-body attractiveness, whilst the body accounted for a greater proportion of overall face-body sexual desirability. Liking faces may be an important factor of partner selection, but the body may be stronger indicators of sexual intention.;Female body:Female, face:Sexual desirability:Physical attractiveness;;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV19-MSM-11240___/01:1;07.05.2019;RIV/00216208:11240/17:10378387!RIV19-MSM-11240___;192078832;Sborník textů z XXIX. Bohnických sexuologických dnů;978-80-7204-974-5;;neuvedeno;;;CERM;Praha;;;6;15-20;;;;;Praha;22.02.2018;CST;S;;
6;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00023752%3A_____%2F17%3A43915414%21RIV18-MSM-00023752;RIV/00023752:_____/17:43915414;MSM;Homogamy in masculinity-femininity is positively linked to relationship quality in gay male couples from the Czech Republic;;Homogamy in masculinity-femininity is positively linked to relationship quality in gay male couples from the Czech Republic;J;J/A;Jimp;eng;-;-;50103;U;2017;S;5;6;4;Bártová, Klára:Štěrbová, Zuzana:Martinec Nováková, Lenka:Binter, Jakub:Corrêa Varella, Marco Antonio:Varella Valentova, Jaroslava;The main aims of this research were to test the similarity of masculinity–femininity in long-term male same-sex couples from the Czech Republic and to examine whether this similarity predicts higher relationship quality. In Study 1, participants (N = 30) and their partners completed the Dyadic Adjustment Scale (DAS) and the Childhood Gender Nonconformity Scale (CGN). In Study 2, participants (N = 40) and their partners completed DAS and the Gender Diagnosticity Scale (GD). Results showed that the partners were no more alike than individuals paired at random in their CGN or GD, but greater similarity in CGN between partners increased Dyadic Cohesion (r = −.41 [−.71, −.02]) and Affectional Expression (r = −.38 [−.60, −.13]). Our results add to previous evidence showing that similarity in same-sex couples increased relationship quality. Although, on average, gay men were not coupled on the basis of homogamy in gender roles, their relationship quality is linked to the gender egalitarian model rather than to the gender stratified one. Thus, a widespread stereotype suggesting that same-sex partners are divided by different gender roles seems to be, at least in our sample from a Western society, rather incorrect.;The main aims of this research were to test the similarity of masculinity–femininity in long-term male same-sex couples from the Czech Republic and to examine whether this similarity predicts higher relationship quality. In Study 1, participants (N = 30) and their partners completed the Dyadic Adjustment Scale (DAS) and the Childhood Gender Nonconformity Scale (CGN). In Study 2, participants (N = 40) and their partners completed DAS and the Gender Diagnosticity Scale (GD). Results showed that the partners were no more alike than individuals paired at random in their CGN or GD, but greater similarity in CGN between partners increased Dyadic Cohesion (r = −.41 [−.71, −.02]) and Affectional Expression (r = −.38 [−.60, −.13]). Our results add to previous evidence showing that similarity in same-sex couples increased relationship quality. Although, on average, gay men were not coupled on the basis of homogamy in gender roles, their relationship quality is linked to the gender egalitarian model rather than to the gender stratified one. Thus, a widespread stereotype suggesting that same-sex partners are divided by different gender roles seems to be, at least in our sample from a Western society, rather incorrect.;sexual orientation:gender roles:assortative mating:relationship quality:male same-sex couples;https://link.springer.com/article/10.1007%2Fs10508-016-0931-z;;10.1007/s10508-016-0931-z;ico:00023752;Národní ústav duševního zdraví;I;SPO;23752;Národní ústav duševního zdraví;;Klecany;Klecany;CZ;CZ02;CZ020;CZ0209;;;RIV18-MSM-00023752/02:1;25.04.2018;RIV/00023752:_____/17:43915414!RIV18-MSM-00023752;191961425;Archives of Sexual Behavior;;0004-0002;;46;5;Archives of Sexual Behavior;;US;;11;1349-1359;4,0543E+11;2-s2.0-85011715875;;;;;;P (LO1611);;
7;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F17%3A10361093%21RIV18-MSM-11240___;RIV/00216208:11240/17:10361093;MSM;Pornography consumption in women: a representative study in Slovakia;;Pornography consumption in women: a representative study in Slovakia;O;;;eng;-;-;30215;U;2017;S;1;5;4;Krejčová, Lucie:Chovanec, Michal:Binter, Jakub:Weiss, Petr:Klapilová, Kateřina;A number of studies on the consumption of pornography have revealed large and clearly defined gender differences. Thus, men appear to be more attracted to and consume significantly more pornography than women (e.g. Hald, 2006). The study of Hald and Štulfoher (2015) found the preference of different pornography contents in women and men. Among heterosexual women, &quot,vanilla&quot, sexual themes (e.g. oral sex, vaginal sex) were the most frequently used. This study aimed to describe the preferences in pornography contents in the national representative sample of Slovakian women and to explore predictors of the frequency of pornography use.;A number of studies on the consumption of pornography have revealed large and clearly defined gender differences. Thus, men appear to be more attracted to and consume significantly more pornography than women (e.g. Hald, 2006). The study of Hald and Štulfoher (2015) found the preference of different pornography contents in women and men. Among heterosexual women, &quot,vanilla&quot, sexual themes (e.g. oral sex, vaginal sex) were the most frequently used. This study aimed to describe the preferences in pornography contents in the national representative sample of Slovakian women and to explore predictors of the frequency of pornography use.;national survey:female sexuality:pornography;http://dx.doi.org/10.1016/j.jsxm.2017.03.079;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV18-MSM-11240___/03:1;11.12.2018;RIV/00216208:11240/17:10361093!RIV18-MSM-11240___;192048867;;;;;;;;;;;;;;;;;;;;I, S;;
8;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00023752%3A_____%2F17%3A43919120%21RIV18-MSM-00023752;RIV/00023752:_____/17:43919120;MSM;Poruchy sexuální preference pohledem evoluční sexuologie;Poruchy sexuální preference pohledem evoluční sexuologie;Disorders of Sexual Preference from the Perspective of Evolutionary Sexology;J;J/C;Jost;cze;-;-;50102;U;2017;S;4;8;7;Klapilová, Kateřina:Varella-Valentová, Jaroslava:Lindová, Jitka:Androvičová, Renáta:Krejčová, Lucie:Zikánová, Tereza:Binter, Jakub:Bártová, Klára;V následujícím článku jsou popsány hlavní teoretická východiska oboru Evoluční sexuologie, které jsou posléze aplikovány na konkrétní příklady poruch sexuální preference (např. pedofilie, hebefilie, sexuální agrese nebo fetišismus).;In the following text, the theoretical basis of Evolutionary sexuology is described. Later the approach is applied to the concrete examples of sexual preference disorders (e.g. pedophilia, hebephilia, sexual agression or fetishism).;evolutionary psychology:sexual preference disorders, evolutionary sexology:paraphilias;http://sexology.sk/casopis/;;;ico:00023752;Národní ústav duševního zdraví;I;SPO;23752;Národní ústav duševního zdraví;;Klecany;Klecany;CZ;CZ02;CZ020;CZ0209;;;RIV18-MSM-00023752/02:1;25.04.2018;RIV/00023752:_____/17:43919120!RIV18-MSM-00023752;191961483;Sexuologia;;1335-8820;;2017;1;Sexuologia;;SK;;7;26-32;;;;;;;;P (LO1611);;
9;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00023752%3A_____%2F16%3A43915319%21RIV17-MSM-00023752;RIV/00023752:_____/16:43915319;MSM;(R)evoluce ve výzkumu lidské sexuality;(R)evoluce ve výzkumu lidské sexuality;(R)evolution in research of human sexuality;C;;;cze;A - Společenské vědy;AN - Psychologie;0;U;2016;S;3;10;9;Klapilová, Kateřina:Androvičová, Renáta:Bártová, Klára:Binter, Jakub:Krejčová, Lucie:Lindová, Jitka:Průšová, Denisa:Wells, Timothy Jason:Zikánová, Tereza:Varella Valentova, Jaroslava;Kapitola se zabývá vymezením evoluční psychiatrie, evoluční sexuologie a dál se věnuje specifikům evolučního rámce aplikovaného na poruchy a variace související se sexualitou.;In this chapter it is definied Evolutionary Psychiatry, Evolutionary sexology, and it's main focus is on the specifics of an evolutionary framework applied to disorders and variations related to sexuality.;evolutionary sexology:evolutionary psychiatry;;;;ico:00023752;Národní ústav duševního zdraví;I;SPO;23752;Národní ústav duševního zdraví;;Klecany;Klecany;CZ;CZ02;CZ020;CZ0209;;;RIV17-MSM-00023752/01:1;28.04.2017;RIV/00023752:_____/16:43915319!RIV17-MSM-00023752;191862716;Mozek a jeho člověk, mysl a její nemoc;978-80-7492-283-1;;;;;Galén;Praha;;382;13;117-129;;;;;;;;P (LO1611);;
10;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F16%3A10321755%21RIV17-MSM-11240___;RIV/00216208:11240/16:10321755;MSM;Dopad postojů k sexualitě na ženské sexuální vzrušení: studie, využívající dvou typů imaginativních stimulů;Dopad postojů k sexualitě na ženské sexuální vzrušení: studie, využívající dvou typů imaginativních stimulů;The impact of attitudes towards sexuality on female sexual arousal: a study using two types of imaginative stimuli;D;;;cze;F - Lékařské vědy;FQ - Veřejné zdravotnictví, sociální lékařství;0;U;2016;S;1;5;5;Krejčová, Lucie:Binter, Jakub:Pastor, Zlatko:Weiss, Petr:Klapilová, Kateřina;Měření ženské sexuální vzrušivosti představuje jak v rámci primárního výzkumu, tak v rámci klinické praxe, řadu problémů. Zejména disproporce mezi subjektivně vnímaným vzrušením žen a fyziologicky měřenou sexuální odezvou (např. vaginální fotopletysmografie (VPG, termistor), velká variabilita v subjektivních preferencích žen a jejich nízká reaktivita na statické obrazové stimuly je zřejmě důvodem, že není k dispozici standardizovaná sada eroticko-sexuálních stimulů pro ženy. V naší studii bylo měřeno vzrušení (subjektivní i fyziologické - pomocí termistoru GETA) 2 sad sexuálně-erotických stimulů rozdílné povahy (řízená erotické imaginace, čtení erotických textů) u vzorku 20 žen v reproduktivním věku, bez diagnostikovaných sexuálních problémů. Výsledky ukázaly, že testované erotické povídky a výroky jsou vhodné pro měření ženské sexuální fyziologické reakce. Jejich účinnost se ukázala zejména v detekci postojů k sexualitě a určitým sexuálním praktikám, strachu z vlastního výkonu při sexuálním styku, strachu z bolesti a hlavně strachu ze ztráty vlastního vzrušení během sexuálních aktivit.;Measurement of female sexual arousal is as in the primary research and in the clinical practice, a number of problems. Especially disproportion between the subjectively perceived excitement of women and physiological measurements sexual response (eg. Vaginal photopletysmography (VPG, a thermistor), large variability in subjective preferences of women and their low reactivity to static visual stimuli is probably the reason that there is not a standardized set of erotic sex incentives for women. our study measured excitement (subjective and physiological - thermistor GETA), 2 sets of sexually erotic stimuli of different nature (controlled erotic imagination, reading erotic texts) sample of 20 women of reproductive age, without a diagnosed sexual problems. Results showed that the tested erotic stories and sayings are suitable for measurement of female sexual physiological responses. Their effectiveness is proven especially in the detection of attitudes towards sexuality and certain sexual practices for fear of their own performance during sexual intercourse, fear of pain and especially the fear of losing their excitement during sexual activities.;erotic stimuli:sexual arousal:vaginal pletysmography:female sexuality;;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV17-MSM-11240___/01:1;24.05.2017;RIV/00216208:11240/16:10321755!RIV17-MSM-11240___;191922506;XXVII. Bohnické sexuologické dny sborník textů;978-80-7204-935-6;;;;;Akademické nakladatelství CERM, s.r.o.;Brno;;;12;40-51;;;;;Praha;26.02.2015;CST;S;;
