zpusob-vypisu;kod;nazev-originalni;nazev-anglicky;nazev-cesky;druh;poddruh;jazyk;vedni-obor;obor-skupina;obor;rok-uplatneni;kod-duvernosti;pocet-vyskytu;pocet-tvurcu-celkem;pocet-tvurcu-domaci;jmeno;prijmeni;cizi-statni-prislusnik;statni-prislusnost;domaci-tvurce;vedidk;orcid;scopusid;researcherid;klicova-slova;anotace-originalni;anotace-anglicky;anotace-cesky;www;doi-vysledku;www-vyzkum;j-nazev-periodika;j-issn;j-eissn;j-svazek-periodika;j-cislo-periodika;j-stat;j-pocet-stran;j-strana-oddo;j-kod-utwos;j-eid;j-oa-zpusob;j-oa-termin;predkladatel-id;predkladatel-nazev;dodavatel;rok-sberu;specifikace;datum-dodani;kontrolni-cislo;dalsi-vyskyty-vysledku;jine-vyskyty-vysledku;vyzkumne-aktivity;navaznosti
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;Jakub;Lang;CIZ;SK;A;;;;;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;AV0;2020;RIV/61388955:_____/19:00502549!RIV20-AV0-61388955;06.05.2020;192160000;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;Jiøí;Brabec;OCR;;A;8582513;;;;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;AV0;2020;RIV/61388955:_____/19:00502549!RIV20-AV0-61388955;06.05.2020;192160000;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;M.;Saitow;CIZ;DE;N;;;;;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;AV0;2020;RIV/61388955:_____/19:00502549!RIV20-AV0-61388955;06.05.2020;192160000;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;Jiøí;Pittner;OCR;;A;6643604;;;F-5128-2014;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;AV0;2020;RIV/61388955:_____/19:00502549!RIV20-AV0-61388955;06.05.2020;192160000;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;F.;Neese;CIZ;DE;N;;;;;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;AV0;2020;RIV/61388955:_____/19:00502549!RIV20-AV0-61388955;06.05.2020;192160000;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;Ondøej;Demel;OCR;;A;7013507;;;F-6172-2014;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;AV0;2020;RIV/61388955:_____/19:00502549!RIV20-AV0-61388955;06.05.2020;192160000;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;Jakub;Lang;CIZ;SK;A;;;;;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;GA0;2020;RIV/61388955:_____/19:00502549!RIV20-GA0-61388955;13.05.2020;192181671;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;Jiøí;Brabec;OCR;;A;8582513;;;;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;GA0;2020;RIV/61388955:_____/19:00502549!RIV20-GA0-61388955;13.05.2020;192181671;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;M.;Saitow;CIZ;DE;N;;;;;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;GA0;2020;RIV/61388955:_____/19:00502549!RIV20-GA0-61388955;13.05.2020;192181671;[List];[List];[List];[List]
výskyt;RIV/61388955:_____/19:00502549;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;Perturbative triples correction to domain-based local pair natural orbital variants of Mukherjee's state specific coupled cluster method;;J;A;eng;10403;;;2019;S;3;6;4;Jiøí;Pittner;OCR;;A;6643604;;;F-5128-2014;[List];In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;In this article we report an implementation of the perturbative triples correction to Mukherjee's state-specific multireference coupled cluster method based on the domain-based pair natural orbital approach (DLPNO-MkCC). We tested the performance of DLPNO-MkCCSD(T) in calculations involving tetramethyleneethane and isomers of naphthynes. These tests show that more than 97% of triples energy was recovered with respect to the canonical MkCCSD(T) method, which together with the DLPNO-MkCCSD part accounts for about 99.70-99.85% of the total correlation energy. The applicability of the method was demonstrated on calculations of singlet-triplet gaps for several large systems: triangulene, dynemicin A, and a beryllium complex.;;http://hdl.handle.net/11104/0294454;10.1039/c8cp03577f;;Physical Chemistry Chemical Physics;1463-9076;;21;9;GB;17;5022-5038;000461722700029;2-s2.0-85062279565;C;;ico:61388955;Ústav fyzikální chemie Jaroslava Heyrovského AV ÈR, v. v. i.;GA0;2020;RIV/61388955:_____/19:00502549!RIV20-GA0-61388955;13.05.2020;192181671;[List];[List];[List];[List]
