cile;nazev.1;statni-prislusnost;vedidk_core_researcher;titul-pred;jmeno;prijmeni;vedoucí jméno;vedoucí příjmení;vedoucí vedidk;ORCID vedouci;researcherid vedouci ;scopusID vbedouci;druhy vedouci jmeno;druhy vedouci příjmeni;druhy vedouci vedidk;ORCID druhy vedouci;researcherid druhy vedouci ;scopusID druhy vedouci
"Multireferenční metody vázaných klastrů jsou známé přesným popisem statické i dynamické elektronové korelace. Vzhledem k vysoké
výpočetní náročnosti, dané škálováním, je však jejich použití omezeno pouze pro malé molekuly. Jak je známé pro řadu metod, toto
škálování je možné snížit až na lineární použitím lokalizovaných orbitalů a lokálních technik. Tento projekt se zabývá vývojem lokální
aproximace multireferenční metody vázaných klastrů, která by byla použitelná pro studium velkých molekul s výrazným multireferenčním charakterem.";Ústav fyzikální chemie J. Heyrovského AV ČR, v. v. i.;CZ;7013507;Mgr.;Ondřej;Demel;;;;;;;;;;;;
Předmětem projektu je využití pokročilých počítačových simulací pro design (i) nových funkčních materiálů a (ii) cest pro jejich přípravu ve formě tenkých vrstev pomocí plazmatu. Bude využita řada simulačních technik, od modelování plazmatu přes reprodukci růstu vrstev pomocí klasické molekulární dynamiky po ab-initio výpočty struktur a vlastností materiálů. Studované materiály budou zahrnovat především multikomponentní nitridy ze systému (Hf/Zr)(Ta)(Si)BCN, a oxidy kovů (Zr, Hf nebo Ta). Simulace budou zaměřeny na vztahy mezi (i) prvkovým složením materiálů nebo toku částic ze kterých tenké vrstvy rostou, (ii) podmínkami přípravy vrstev, (iii) jejich (nano)strukturou a (iv) jejich vlastnostmi. Studované vlastnosti materiálů (v případě nanokompozitů také jednotlivých fází které je tvoří) budou zahrnovat nejen mechanické, optické nebo elektrické vlastnosti, ale také jejich (meta)stabilitu. Důraz bude kladen na simulace užitečné pro podporu paralelně probíhajícího experimentálního výzkumu, a na experimentální ověřování získaných teoretických výsledků.;Západočeská univerzita v Plzni / Fakulta aplikovaných věd;CZ;3554392;doc. Ing.;Jiří;Houška;Jaroslav;Vlček;1975714; 0000-0003-2627-2074;B-9259-2016;;Marcela;Bilek;;;;
Elektromagnetické vlny v prakticky bezesrážkovém plazmatu vnitřní magnetosféry Země představují jedinečný mechanismus, který může výrazně ovlivňovat distribuční funkce jednotlivých složek a přenášet energii i na velké vzdálenosti. Pochopení jejich generačních mechanismů, polohy zdrojových oblastí a způsobu šíření je klíčové pro porozumění formování Van Allenových radiačních pásů. Cílem předkládaného projektu je studium vybraných vlnových jevů velmi nízkých frekvencí pozorovaných ve vnitřní magnetosféře, konkrétně: rovníkového šumu, kvaziperiodických emisí a čárového záření. Za tímto účelem budou využita aktuální družicová data (Cluster, DEMETER, Van Allen Probes) a pokročilé metody vlnové analýzy, společně s teoretickými výpočty šíření (raytracing). Systematicky prostudujeme výskyt těchto vln, a to jak prostorové rozložení, tak optimální podmínky jejich vzniku. Prozkoumáme závislost jejich vlastností na relevantních parametrech a přispějeme k pochopení jejich generačních mechanismů.;Univerzita Karlova / Matematicko-fyzikální fakulta;CZ;5005663;RNDr.;František;Němec;Ondřej;Santolík;9496726;0000-0002-4891-9273;F-7766-2014;;Michel;PARROT;;;;
Mitochondriální ATP syntáza má esenciální úlohu v glukózou stimulované sekreci inzulínu pankreatickými β-buňkami. Proto je pravděpodobné, že mechanismy regulující mitochondriální ATP syntázu jako například endogenní protein IF1, nebo post-translační modifikace mají podstatný vliv na regulaci fyziologické funkce pankreatických β-buněk. Doposud nebyla publikována žádná práce zabývající se významem těchto regulačních mechanismů v pankreatických β-buňkách. Cílem tohoto projektu je stanovit vliv molekulárních mechanismů regulujících ATP syntázu na buněčný metabolismus a homeostázu reaktivních kyslíkových radikálů v pankreatických β-buňkách a následně také na sekreci inzulínu těmito buňkami. Kromě studií bioenergetických parametrů pankreatických β-buněk budeme také studovat úlohu těchto mechanismů v regulaci buněčného přežívání za podmínek hypoxie, nutričního hladovění nebo zvýšeného oxidativního stresu. Úspěšné splnění projektu by významně přispělo k pochopení molekulárních procesů, které se uplatňují v etiologii Diabetu (T2DM).;Fyziologický ústav AV ČR, v. v. i.;CZ;9643737;Ing.;Andrea;Dlasková;;;;;;;;;;;;
S nástupem genetiky se z původně velmi široce pojatých skupin diabetu typu 1 a 2 vydělilo několik typů monogenně podmíněných poruch metabolismu (např. MODY1-9). Klinické projevy jednotlivých mutací týchž genů se navzájem diametrálně odlišují, jejich funkční analýza však vesměs dosud nebyla provedena. Na základě rozsáhlého prescreeningu se zaměříme na funkční analýzu mutací v genu pro glukokinázu a transkripční faktory způsobující MODY pacientů ve středoevropském prostoru. Výstupem projektu bude funkční validace mutací na úrovni enzymatické aktivity jednotlivých proteinů zodpovědných za vznik MODY, a determinace změn jejich aktivity v odpovědi na podání inhibitorů a především aktivátorů těchto enzymů. Zaměříme se rovněž na analýzu farmakokinetiky a farmakodynamiky již klinicky užívaných derivátů sulfonylurey u MODY pacientů s důrazem na možnou personalizaci způsobu podávání léčiv v návaznosti genetické dispozice jednotlivých pacientů.;Univerzita Karlova / 3. lékařská fakulta;CZ;2765233;RNDr.;Petr;Heneberg;Petr;Dráber;5182581;;G-3412-2014;;;;;;;
Cílem projektu je zpracovat dějiny sociologie ve střední Evropě (vymezené jak geopoliticky, tak diskursivně) v období před druhou světovou válkou. Novum projektu spočívá ve srovnávací perspektivě, která byla doposud spíše upozaděna, neboť výzkum v této oblasti probíhal spíše v hranicích národních států. Základní otázky projektu jsou: jak probíhal proces institucionalizace sociologie ve středoevropských zemích, zda lze vysledovat společné vzorce v biografiích i konceptech důležitých středoevropských sociologů, a jaké povahy byl vztah mezi sociologií a politikou v životě a díle nejdůležitějších sociologů. Aby mohly být tyto otázky zodpovězeny, bude vedle studia literatury a biografických materiálů využita metoda kvantitativní i kvalitativní obsahové analýzy časopisů a výzkum archivních pramenů. Výsledky budou publikovány formou 3 článků v impaktovaných časopisech, 1 článku v českém recenzovaném časopise a 1 monografie.;Slezská univerzita v Opavě / Fakulta veřejných politik v Opavě;CZ;8336628;PhDr.;Dušan;Janák;Radim;Marada;1983709;0000-0001-7505-3156;T-6314-2017;24479080900;;;;;;
Tento projekt nabídne kritické filologické zpracování dvou rozsáhlých nových rukopisů hymnu Šulgi B a všech rukopisů hymnu Šulgi E. Tyto dva texty oslavující krále Šulgiho z Uru (asi 2100 př. Kr.) jsou modelovými příklady intertextuality a patří k nejskvělejším příkladům sumerské poetické tvorby. Hymnus Šulgi B podrobně popisuje panovníkovy válečné úspěchy a kulturní politiku, zatímco hymnus Šulgi E shrnuje jeho údajnou vojenskou udatnost a intelektuální schopnosti, což se významně dotýká historiografie období III. dynastie urské a následujícího starobabylonského období. Zamýšlené monografické vydání nových tabulek s textem hymnu Šulgi B (jedna obsahuje unikátní dvojjazyčný sumersko-akkadský text hymnu) přinese i rozbor nejstarších metod překladu sumerské literatury do akkadštiny. V rámci projektu bude zpracován i dosud nevydaný hymnus Šulgi E a výsledky práce na tomto textu budou publikovány ve svazku rukopisů sumerské královské literatury z Yale Babylonian Collection, který připravuje W. W. Hallo, emeritní profesor asyriologie a babylonské literatury na Yaleově univerzitě.;Univerzita Hradec Králové / Filozofická fakulta;CZ;5572568;Mgr.;Luděk;Vacín;;;;;;;;;;;;
V projektu budeme studovat vztah mezi veličinami za přítomnosti dalších vysvětlujících veličin (tzv. kovariát). Pomocí teorie kopulí lze rozlišit, zda kovariáta ovlivňuje pouze marginální rozdělení nebo také ovlivňuje samotnou strukturu závislosti. Pro obě situace navrhneme neparametrické odhady kopulí (a také některých důležitých koeficientů korelace) a odvodíme jejich asymptotické rozdělení. Tyto neparametrické odhady jsou důležité nejen samy o sobě, ale také pro diagnostiku parametrických modelů. Vedle toho přispějeme také k teorii parciálních pořadových korelačních koeficientů. Tyto nové výsledky společně s dalšími již známými výsledky o kopulích použijeme k rozvoji aktuárských technik pro stochastické rezerovávní škod v neživotním pojištění. Potenciální výhody těchto nových technik budeme používat při analýze reálných dat z oblasti pojišťovnictví.;Univerzita Karlova / Matematicko-fyzikální fakulta;CZ;2905930;Ing.;Marek;Omelka;Jana;Jurečková;8936161;0000-0002-1250-6338;B-2768-2008;6603416797;;;;;;
Dětská akutní lymfoblastická leukémie (ALL) je onemocnění, jehož biologická podstata je značně heterogenní  a komplexní a není dosud zcela objasněna. Za vznikem ALL , jejím biologickým charakterem  a klinickým chováním, stojí získané genetické aberace. Jednou z rekurentních aberací dětské ALL jsou intragenové delece genu ERG. Ukázali jsme, že se vyskytují přibližně u 5% dětských ALL a jsou specificky asociovány s určitými biologickými a klinickými parametry a s příznivou prognózou. ALL nesoucí delece genu ERG jsou také charakterizovány specifickým expresním a DNA metylačním profilem, odlišujícími je od jiných podtypů ALL. Delece genu ERG nejsou tedy pouze tzv. “passenger” aberací, ale určují biologický charakter onemocnění. V navrhovaném projektu se zaměříme na funkční charakterizaci aberantního proteinu, který je exprimován  z parciálně deletované alely. S použitím vlastních i publikovaných experimentálních in vitro i in vivo postupů stanovíme, jak se liší funční vlastnosti aberantního a wild type proteinu ERG.;Univerzita Karlova / 2. lékařská fakulta;CZ;5405769;MUDr.;Markéta;Kubričanová Žaliová;;;;;;;;;;;;
Povrchové napětí vodných systémů hraje významnou roli jak v inženýrských aplikacích, zahrnujících například úpravu mořské vody, návrh tepelných trubic pracujících se směsmi vody a alkoholů, či problematiku namrzání letadel, tak při studiu přírodních dějů v atmosféře při vzniku kapek a krystalků a v geologických procesech. V projektu bude studováno povrchové napětí čisté vody, mořské vody a směsí vody se solí a s alkoholem při rovnovážných teplotách a v metastabilním podchlazeném stavu. Nově vyvinutá aparatura v Laboratoři kinetiky fázových přechodů na ÚT AV ČR bude upravena pro měření dvěma nezávislými metodami: měření v horizontální kapiláře s tlakovou kompenzací a měření pomocí elevace ve vertikální kapiláře. Nová experimentální data ověří a zpřesní stávající vztahy pro povrchové napětí studovaných vodných systémů v méně probádaných rozsazích teplot. Experimentální výsledky budou porovnány s modelem mezifázových vlastností na rovinném a kulovém fázovém rozhranní založeném na gradientní teorii spojené s PC-SAFT stavovou rovnicí.;Ústav termomechaniky AV ČR, v. v. i.;CZ;4843657;Ing.;Václav;Vinš;;;;;;;;;;;;
